"Number of holes, nh","Web-post width, WP (mm)","Web opening diameter, Do (mm)",Ply 1 (ø),Ply 2 (ø),Ply 3 (ø),Ply 4 (ø),Ply 5 (ø),Ply 6 (ø),Ply 7 (ø),Ply 8 (ø),Critical Buckling Load (N),Critical Buckling Load (kN)
3,4,45,90,-45,0,45,45,0,-45,90,9487.913594,9.487913594
3,4,45,90,-45,45,0,0,45,-45,90,10272.1906,10.2721906
3,4,45,90,0,-45,45,45,-45,0,90,8740.486147,8.740486147
3,4,45,90,0,45,-45,-45,45,0,90,8740.157154,8.740157154
3,4,45,90,45,-45,0,0,-45,45,90,10271.79852,10.27179852
3,4,45,90,45,0,-45,-45,0,45,90,9486.965459,9.486965459
3,4.5,35,-45,0,45,90,90,45,0,-45,14683.72568,14.68372568
3,4.5,35,-45,0,90,45,45,90,0,-45,12728.57761,12.72857761
3,4.5,35,-45,45,0,90,90,0,45,-45,18592.95461,18.59295461
3,4.5,35,-45,45,90,0,0,90,45,-45,18419.29284,18.41929284
3,4.5,35,-45,90,0,45,45,0,90,-45,13077.64561,13.07764561
3,4.5,35,-45,90,45,0,0,45,90,-45,14779.98726,14.77998726
3,4.5,35,0,-45,45,90,90,45,-45,0,14121.09148,14.12109148
3,4.5,35,0,-45,90,45,45,90,-45,0,12587.00514,12.58700514
3,4.5,35,0,45,-45,90,90,-45,45,0,14120.68889,14.12068889
3,4.5,35,0,45,90,-45,-45,90,45,0,12586.56007,12.58656007
3,4.5,35,0,90,-45,45,45,-45,90,0,11610.45499,11.61045499
3,4.5,35,0,90,45,-45,-45,45,90,0,11610.32824,11.61032824
3,4.5,35,45,-45,0,90,90,0,-45,45,18592.77324,18.59277324
3,4.5,35,45,-45,90,0,0,90,-45,45,18418.82426,18.41882426
3,4.5,35,45,0,-45,90,90,-45,0,45,14682.94427,14.68294427
3,4.5,35,45,0,90,-45,-45,90,0,45,12727.97423,12.72797423
3,4.5,35,45,90,-45,0,0,-45,90,45,14779.52566,14.77952566
3,4.5,35,45,90,0,-45,-45,0,90,45,13076.95253,13.07695253
3,4.5,35,90,-45,0,45,45,0,-45,90,11317.18998,11.31718998
3,4.5,35,90,-45,45,0,0,45,-45,90,12215.96125,12.21596125
3,4.5,35,90,0,-45,45,45,-45,0,90,10618.87076,10.61887076
3,4.5,35,90,0,45,-45,-45,45,0,90,10618.62182,10.61862182
3,4.5,35,90,45,-45,0,0,-45,45,90,12215.61841,12.21561841
3,4.5,35,90,45,0,-45,-45,0,45,90,11316.47582,11.31647582
3,4.5,40,-45,0,45,90,90,45,0,-45,13586.58684,13.58658684
3,4.5,40,-45,0,90,45,45,90,0,-45,11798.37232,11.79837232
3,4.5,40,-45,45,0,90,90,0,45,-45,17275.5188,17.2755188
3,4.5,40,-45,45,90,0,0,90,45,-45,17081.46983,17.08146983
3,4.5,40,-45,90,0,45,45,0,90,-45,12142.55177,12.14255177
3,4.5,40,-45,90,45,0,0,45,90,-45,13739.82086,13.73982086
3,4.5,40,0,-45,45,90,90,45,-45,0,13114.76401,13.11476401
3,4.5,40,0,-45,90,45,45,90,-45,0,11680.69987,11.68069987
3,4.5,40,0,45,-45,90,90,-45,45,0,13114.90195,13.11490195
3,4.5,40,0,45,90,-45,-45,90,45,0,11680.8748,11.6808748
3,4.5,40,0,90,-45,45,45,-45,90,0,10747.08431,10.74708431
3,4.5,40,0,90,45,-45,-45,45,90,0,10746.92204,10.74692204
3,4.5,40,45,-45,0,90,90,0,-45,45,17275.40597,17.27540597
3,4.5,40,45,-45,90,0,0,90,-45,45,17081.52586,17.08152586
3,4.5,40,45,0,-45,90,90,-45,0,45,13586.74611,13.58674611
3,4.5,40,45,0,90,-45,-45,90,0,45,11798.53203,11.79853203
3,4.5,40,45,90,-45,0,0,-45,90,45,13740.04618,13.74004618
3,4.5,40,45,90,0,-45,-45,0,90,45,12142.65513,12.14265513
3,4.5,40,90,-45,0,45,45,0,-45,90,10531.32453,10.53132453
3,4.5,40,90,-45,45,0,0,45,-45,90,11376.0961,11.3760961
3,4.5,40,90,0,-45,45,45,-45,0,90,9784.25021,9.78425021
3,4.5,40,90,0,45,-45,-45,45,0,90,9784.213435,9.784213435
3,4.5,40,90,45,-45,0,0,-45,45,90,11376.24603,11.37624603
3,4.5,40,90,45,0,-45,-45,0,45,90,10531.50901,10.53150901
3,4.5,45,-45,0,45,90,90,45,0,-45,12150.75777,12.15075777
3,4.5,45,-45,0,90,45,45,90,0,-45,10585.79952,10.58579952
3,4.5,45,-45,45,0,90,90,0,45,-45,15476.21494,15.47621494
3,4.5,45,-45,45,90,0,0,90,45,-45,15377.8037,15.3778037
3,4.5,45,-45,90,0,45,45,0,90,-45,10935.17147,10.93517147
3,4.5,45,-45,90,45,0,0,45,90,-45,12391.99948,12.39199948
3,4.5,45,0,-45,45,90,90,45,-45,0,11714.17189,11.71417189
3,4.5,45,0,-45,90,45,45,90,-45,0,10428.00178,10.42800178
3,4.5,45,0,45,-45,90,90,-45,45,0,11714.44265,11.71444265
3,4.5,45,0,45,90,-45,-45,90,45,0,10428.36073,10.42836073
3,4.5,45,0,90,-45,45,45,-45,90,0,9668.223356,9.668223356
3,4.5,45,0,90,45,-45,-45,45,90,0,9668.193154,9.668193154
3,4.5,45,45,-45,0,90,90,0,-45,45,15475.71758,15.47571758
3,4.5,45,45,-45,90,0,0,90,-45,45,15377.25464,15.37725464
3,4.5,45,45,0,-45,90,90,-45,0,45,12150.73914,12.15073914
3,4.5,45,45,0,90,-45,-45,90,0,45,10585.60771,10.58560771
3,4.5,45,45,90,-45,0,0,-45,90,45,12391.23909,12.39123909
3,4.5,45,45,90,0,-45,-45,0,90,45,10934.08485,10.93408485
3,4.5,45,90,-45,0,45,45,0,-45,90,9512.814342,9.512814342
3,4.5,45,90,-45,45,0,0,45,-45,90,10291.44614,10.29144614
3,4.5,45,90,0,-45,45,45,-45,0,90,8767.871268,8.767871268
3,4.5,45,90,0,45,-45,-45,45,0,90,8767.503013,8.767503013
3,4.5,45,90,45,-45,0,0,-45,45,90,10290.88195,10.29088195
